,epoch,ASR,CDA
0,41,95.37,78.46
1,42,94.78,81.19
2,43,94.25,82.22
3,44,94.31,79.54
4,45,92.27,83.37
5,46,95.78,82.85
6,47,90.73,82.24
7,48,95.09,83.3
8,49,89.34,83.77
9,50,94.1,85.38
10,51,93.18,82.33
11,52,96.28,84.0
12,53,96.26,81.66
13,54,95.62,85.75
14,55,96.15,84.15
15,56,96.79,84.44
16,57,88.61,84.99
17,58,95.58,84.71
18,59,98.37,81.34
19,60,94.84,84.19
20,61,96.26,84.23
21,62,92.25,86.09
22,63,96.13,86.04
23,64,95.83,85.3
24,65,95.22,86.36
25,66,94.37,84.85
26,67,95.0,80.68
27,68,95.07,82.49
28,69,96.36,86.41
29,70,95.58,83.82
30,71,96.26,90.92
31,72,95.83,90.93
32,73,96.11,90.82
33,74,96.03,91.17
34,75,96.44,91.05
35,76,96.56,90.92
36,77,96.24,90.87
37,78,96.07,91.19
38,79,96.36,91.15
39,80,96.32,91.37
40,81,96.17,90.8
41,82,96.12,91.29
42,83,96.09,90.8
43,84,96.42,91.14
44,85,95.87,91.21
45,86,96.48,90.91
46,87,95.7,90.61
47,88,95.06,91.03
48,89,96.17,90.58
49,90,95.72,91.11
50,91,96.59,91.04
51,92,95.93,90.96
52,93,95.76,90.75
53,94,96.96,90.87
54,95,96.71,91.1
55,96,96.3,90.58
56,97,95.56,91.05
57,98,95.58,90.81
58,99,96.22,90.88
59,100,93.02,90.5
60,101,96.42,90.83
61,102,96.34,90.96
62,103,96.18,90.98
63,104,96.38,91.1
64,105,96.81,91.08
65,106,96.24,91.02
66,107,96.4,91.19
67,108,96.01,91.21
68,109,96.3,91.15
69,110,96.55,91.15
70,111,96.38,91.05
71,112,96.21,91.04
72,113,96.42,91.11
73,114,96.05,91.01
74,115,96.65,91.01
75,116,96.17,91.07
76,117,96.28,91.11
77,118,96.65,91.11
78,119,96.38,91.08
79,120,96.47,91.11
80,121,96.59,90.98
81,122,96.57,91.05
82,123,96.57,91.13
83,124,96.34,91.09
84,125,96.42,90.96
85,126,96.65,91.04
86,127,96.38,91.07
87,128,96.55,90.98
88,129,96.03,91.17
89,130,96.26,91.11
